season,episode,act_number,characters_in_act
1,9,6,"[""CHARLIE"", ""HURLEY"", ""MICHAEL"", ""KATE"", ""BOONE"", ""SULLIVAN"", ""SAWYER"", ""SHANNON"", ""LOCKE"", ""WALT""]"
1,10,1,"[""CLAIRE"", ""LOCKE"", ""CHARLIE""]"
1,10,2,"[""JACK"", ""CLAIRE"", ""THOMAS"", ""KATE"", ""CHARLIE"", ""RACHEL"", ""MALKIN""]"
1,10,3,"[""CLAIRE"", ""CHARLIE"", ""JACK"", ""MICHAEL"", ""HURLEY"", ""ETHAN"", ""THOMAS"", ""LOCKE"", ""KATE"", ""MALKIN""]"
1,10,4,"[""CLAIRE"", ""MALKIN"", ""CHARLIE"", ""SHANNON"", ""HURLEY"", ""BOONE"", ""SAWYER""]"
1,10,5,"[""CHARLIE"", ""CLAIRE"", ""LAWYER"", ""ARLENE"", ""ETHAN"", ""MALKIN""]"
1,10,6,"[""CHARLIE"", ""CLAIRE"", ""JACK"", ""SAYID"", ""HURLEY"", ""ETHAN""]"
1,11,1,"[""HURLEY"", ""KATE"", ""JACK"", ""MICHAEL"", ""LOCKE""]"
1,11,2,"[""LOCKE"", ""JACK"", ""NURSE"", ""NURSE #2"", ""CHRISTIAN SHEPHARD"", ""KATE"", ""SHANNON"", ""BOONE"", ""WALT"", ""MICHAEL"", ""HURLEY""]"
1,11,3,"[""JACK"", ""LOCKE"", ""KATE"", ""BOONE"", ""SAWYER"", ""WALT"", ""CHRISTIAN SHEPHARD""]"
1,11,4,"[""SAWYER"", ""SAYID"", ""HURLEY"", ""WALT"", ""BOONE"", ""LOCKE"", ""JACK"", ""KATE"", ""ETHAN""]"
1,11,5,"[""ANDREA"", ""JACK"", ""KATE"", ""CHRISTIAN SHEPHARD"", ""HOSPITAL ADMINISTRATOR""]"
1,11,6,"[""WALT"", ""MICHAEL"", ""JACK"", ""CHARLIE"", ""SHANNON"", ""KATE"", ""BOONE"", ""LOCKE""]"
1,12,1,"[""SAWYER"", ""KATE""]"
1,12,2,"[""SAWYER"", ""KATE"", ""SAYID"", ""JACK"", ""BOONE"", ""SHANNON"", ""Mark Hutton"", ""HUTTON"", ""ROBBERS"", ""JASON"", ""ROBBER #2""]"
1,12,3,"[""SAYID"", ""SHANNON"", ""SAWYER"", ""Michael"", ""HURLEY"", ""MICHAEL"", ""LOCKE"", ""BOONE"", ""ROSE"", ""CHARLIE"", ""KATE"", ""JASON"", ""HUTTON"", ""ROBBER #2"", ""BASEBALL HAT""]"
1,12,4,"[""SHANNON"", ""SAYID"", ""JACK"", ""SUN"", ""KATE"", ""CHARLIE"", ""ROSE"", ""JASON"", ""ROBBER #3"", ""HUTTON""]"
1,12,5,"[""SHANNON"", ""SAYID"", ""JACK"", ""SAWYER"", ""KATE"", ""JASON"", ""HUTTON"", ""ROBBER #2""]"
1,12,6,"[""CHARLIE"", ""ROSE"", ""SHANNON"", ""SAYID""]"
1,13,1,"[""SAYID"", ""SHANNON"", ""HURLEY"", ""BOONE"", ""NICOLE"", ""LOCKE""]"
1,13,2,"[""HURLEY"", ""JACK"", ""KATE"", ""BOONE"", ""LOCKE"", ""BRYAN"", ""SHANNON"", ""JIN""]"
1,13,3,"[""BOONE"", ""LOCKE"", ""MALCOLM"", ""SAWYER"", ""BRYAN"", ""KATE"", ""SUN"", ""HURLEY"", ""JIN"", ""SAYID"", ""SHANNON""]"
1,13,4,"[""SAYID"", ""JACK"", ""SHANNON"", ""BOONE"", ""BRYAN"", ""LOCKE"", ""KATE"", ""SUN"", ""HURLEY"", ""CHARLIE"", ""WALT"", ""MICHAEL"", ""JIN""]"
1,13,5,"[""BOONE"", ""SHANNON""]"
1,13,6,"[""BOONE"", ""LOCKE""]"
1,14,1,"[""MICHAEL"", ""CHARLIE"", ""JACK"", ""HURLEY"", ""SUSAN"", ""WALT"", ""LOCKE"", ""BOONE""]"
1,14,2,"[""MICHAEL"", ""SUSAN"", ""SUN"", ""SAYID"", ""SHANNON"", ""JACK"", ""WALT"", ""BRIAN"", ""MAN""]"
1,14,3,"[""KATE"", ""CHARLIE"", ""WALT"", ""MICHAEL"", ""SAWYER"", ""SHANNON"", ""BOONE"", ""LOCKE"", ""NURSE"", ""SUSAN"", ""HURLEY""]"
1,14,4,"[""MICHAEL"", ""LOCKE"", ""BOONE"", ""CHARLIE"", ""KATE"", ""WALT"", ""SUSAN"", ""BRIAN""]"
1,14,5,"[""BRIAN"", ""MICHAEL"", ""WALT"", ""LOCKE"", ""NANNY""]"
1,14,6,"[""WALT"", ""MICHAEL"", ""LOCKE"", ""CHARLIE"", ""JACK"", ""SAYID"", ""BOONE""]"
1,15,1,"[""VOICE"", ""LOCKE"", ""CHARLIE"", ""MICHAEL"", ""WALT"", ""JACK"", ""HURLEY"", ""CLAIRE""]"
1,15,2,"[""CLAIRE"", ""CHARLIE"", ""JACK"", ""JIN"", ""SUN"", ""BOONE"", ""LOCKE"", ""TOMMY"", ""LUCY"", ""SAYID"", ""ETHAN""]"
1,15,3,"[""CHARLIE"", ""LOCKE"", ""JACK"", ""SUN"", ""JIN"", ""CLAIRE"", ""LUCY"", ""KATE"", ""SAYID"", ""BOONE"", ""FRANK"", ""TOMMY""]"
1,15,4,"[""LOCKE"", ""SAYID"", ""BOONE"", ""HURLEY"", ""KATE"", ""SAWYER"", ""SEVERAL PEOPLE"", ""CLAIRE"", ""SHANNON"", ""CHARLIE"", ""LUCY"", ""JACK""]"
1,15,5,"[""CHARLIE"", ""JACK"", ""SAYID"", ""CLAIRE"", ""LOCKE"", ""SAWYER"", ""KATE""]"
1,15,6,"[""LOCKE"", ""SAWYER"", ""SAYID"", ""JACK"", ""CHARLIE"", ""LUCY"", ""CLAIRE""]"
1,16,1,"[""MARY"", ""YOUNG SAWYER"", ""SAWYER'S FATHER""]"
